content_type;l_addr;l_port;r_address;r_addr_ip;r_port
;192.168.0.112;43158;15.taboola.com;151.101.65.44;443
;192.168.0.112;42958;trc.taboola.com;151.101.1.44;443
;192.168.0.112;43162;vidanalytics.taboola.com;151.101.193.44;443
;192.168.0.112;43000;images.taboola.com;151.101.129.44;443
;192.168.0.112;42992;pips.taboola.com;151.101.65.44;443
;192.168.0.112;42950;cdn.taboola.com;151.101.65.44;443
;192.168.0.112;42972;imprammp.taboola.com;151.101.193.44;443
;192.168.0.112;42974;am-vid-events.taboola.com;141.226.228.48;443
;192.168.0.112;42958;trc.taboola.com;151.101.1.44;443
;192.168.0.112;42954;sb.scorecardresearch.com;18.154.48.61;443
;192.168.0.112;42954;sb.scorecardresearch.com;18.154.48.61;443
;192.168.0.112;42958;trc.taboola.com;151.101.1.44;443
;192.168.0.112;43162;vidanalytics.taboola.com;151.101.193.44;443
;192.168.0.112;42978;taboola-supply-partners.tremorhub.com;52.3.101.55;443
;192.168.0.112;42980;match.adsrvr.org;146.112.61.110;443
;192.168.0.112;42982;x.bidswitch.net;18.156.40.75;443
;192.168.0.112;43010;ups.analytics.yahoo.com;18.156.0.31;443
;192.168.0.112;42990;wf.taboola.com;151.101.193.44;443
;192.168.0.112;43226;vidanalytics.taboola.com;151.101.193.44;443
;192.168.0.112;43226;vidanalytics.taboola.com;151.101.193.44;443
;192.168.0.112;43218;am-wf.taboola.com;141.226.228.48;443
;192.168.0.112;43230;wf.taboola.com;151.101.65.44;443
;192.168.0.112;43230;wf.taboola.com;151.101.65.44;443
;192.168.0.112;43188;trc.taboola.com;151.101.1.44;443
;192.168.0.112;43188;trc.taboola.com;151.101.1.44;443
;192.168.0.112;43182;ups.analytics.yahoo.com;18.156.0.31;443
;192.168.0.112;43184;x.bidswitch.net;18.156.40.75;443
;192.168.0.112;43182;ups.analytics.yahoo.com;18.156.0.31;443
;192.168.0.112;43196;pips.taboola.com;151.101.65.44;443
;192.168.0.112;43192;images.taboola.com;151.101.129.44;443
;192.168.0.112;43196;pips.taboola.com;151.101.65.44;443
;192.168.0.112;43200;cdn.taboola.com;151.101.65.44;443
;192.168.0.112;43202;imprammp.taboola.com;151.101.193.44;443
;192.168.0.112;43226;vidanalytics.taboola.com;151.101.193.44;443
;192.168.0.112;43190;and-clog2.pulse.weatherbug.net;3.231.11.17;443
;192.168.0.112;43204;am-vid-events.taboola.com;141.226.228.48;443
;192.168.0.112;43204;am-vid-events.taboola.com;141.226.228.48;443
;192.168.0.112;43234;match.adsrvr.org;146.112.61.110;443
;192.168.0.112;43236;taboola-supply-partners.tremorhub.com;52.206.50.209;443
;192.168.0.112;43188;trc.taboola.com;151.101.1.44;443
;192.168.0.112;43226;vidanalytics.taboola.com;151.101.193.44;443
;192.168.0.112;43238;sb.scorecardresearch.com;18.154.48.61;443
;192.168.0.112;43238;sb.scorecardresearch.com;18.154.48.61;443
;192.168.0.112;43240;trc-events.taboola.com;141.226.228.48;443
;192.168.0.112;43242;and-clog2.pulse.weatherbug.net;3.231.11.17;443
;192.168.0.112;43188;trc.taboola.com;151.101.1.44;443
;192.168.0.112;43218;am-wf.taboola.com;141.226.228.48;443
;192.168.0.112;43192;images.taboola.com;151.101.65.44;443
;192.168.0.112;43192;images.taboola.com;151.101.65.44;443
;192.168.0.112;43192;images.taboola.com;151.101.65.44;443
;192.168.0.112;43192;images.taboola.com;151.101.65.44;443
;192.168.0.112;43192;images.taboola.com;151.101.65.44;443
;192.168.0.112;43188;trc.taboola.com;151.101.1.44;443
;192.168.0.112;43202;imprammp.taboola.com;151.101.65.44;443
;192.168.0.112;43204;am-vid-events.taboola.com;141.226.228.48;443
;192.168.0.112;43244;il-trc-events.taboola.com;185.106.33.48;443
;192.168.0.112;43244;il-trc-events.taboola.com;185.106.33.48;443
;192.168.0.112;43204;am-vid-events.taboola.com;141.226.228.48;443
;192.168.0.112;43218;am-wf.taboola.com;141.226.228.48;443
;192.168.0.112;43188;trc.taboola.com;151.101.1.44;443
;192.168.0.112;43244;il-trc-events.taboola.com;185.106.33.48;443
;192.168.0.112;43192;images.taboola.com;151.101.65.44;443
;192.168.0.112;43192;images.taboola.com;151.101.65.44;443
;192.168.0.112;43192;images.taboola.com;151.101.65.44;443
;192.168.0.112;43192;images.taboola.com;151.101.65.44;443
;192.168.0.112;43236;taboola-supply-partners.tremorhub.com;52.206.50.209;443
;192.168.0.112;43234;match.adsrvr.org;146.112.61.110;443
;192.168.0.112;43196;pips.taboola.com;151.101.65.44;443
;192.168.0.112;43230;wf.taboola.com;151.101.65.44;443
;192.168.0.112;43188;trc.taboola.com;151.101.1.44;443
;192.168.0.112;43226;vidanalytics.taboola.com;151.101.193.44;443
;192.168.0.112;43226;vidanalytics.taboola.com;151.101.193.44;443
;192.168.0.112;43218;am-wf.taboola.com;141.226.228.48;443
;192.168.0.112;43218;am-wf.taboola.com;141.226.228.48;443
;192.168.0.112;43230;wf.taboola.com;151.101.65.44;443
;192.168.0.112;43226;vidanalytics.taboola.com;151.101.1.44;443
;192.168.0.112;43226;vidanalytics.taboola.com;151.101.1.44;443
;192.168.0.112;43218;am-wf.taboola.com;141.226.228.48;443
;192.168.0.112;43254;and-clog2.pulse.weatherbug.net;3.231.11.17;443
;192.168.0.112;43218;am-wf.taboola.com;141.226.228.48;443
;192.168.0.112;43218;am-wf.taboola.com;141.226.228.48;443
;192.168.0.112;43226;vidanalytics.taboola.com;151.101.1.44;443
;192.168.0.112;43226;vidanalytics.taboola.com;151.101.1.44;443
;192.168.0.112;43218;am-wf.taboola.com;141.226.228.48;443
;192.168.0.112;43218;am-wf.taboola.com;141.226.228.48;443
;192.168.0.112;43218;am-wf.taboola.com;141.226.228.48;443
;192.168.0.112;43226;vidanalytics.taboola.com;151.101.1.44;443
;192.168.0.112;43226;vidanalytics.taboola.com;151.101.1.44;443
;192.168.0.112;43218;am-wf.taboola.com;141.226.228.48;443
;192.168.0.112;43226;vidanalytics.taboola.com;151.101.65.44;443
;192.168.0.112;43226;vidanalytics.taboola.com;151.101.65.44;443
;192.168.0.112;43218;am-wf.taboola.com;141.226.228.48;443
;192.168.0.112;43226;vidanalytics.taboola.com;151.101.65.44;443
;192.168.0.112;43226;vidanalytics.taboola.com;151.101.65.44;443
;192.168.0.112;43226;vidanalytics.taboola.com;151.101.65.44;443
;192.168.0.112;43226;vidanalytics.taboola.com;151.101.129.44;443
No response;192.168.0.112;43226;vidanalytics.taboola.com;151.101.129.44;443
No response;192.168.0.112;43226;vidanalytics.taboola.com;151.101.129.44;443
No response;192.168.0.112;43226;vidanalytics.taboola.com;151.101.129.44;443
No response;192.168.0.112;43226;vidanalytics.taboola.com;151.101.129.44;443
No response;192.168.0.112;43226;vidanalytics.taboola.com;151.101.129.44;443
No response;192.168.0.112;43226;vidanalytics.taboola.com;151.101.129.44;443
No response;192.168.0.112;43226;vidanalytics.taboola.com;151.101.129.44;443
No response;192.168.0.112;43226;vidanalytics.taboola.com;151.101.129.44;443
No response;192.168.0.112;43226;vidanalytics.taboola.com;151.101.129.44;443
No response;192.168.0.112;43226;vidanalytics.taboola.com;151.101.129.44;443
No response;192.168.0.112;43226;vidanalytics.taboola.com;151.101.129.44;443
No response;192.168.0.112;43226;vidanalytics.taboola.com;151.101.129.44;443
No response;192.168.0.112;43226;vidanalytics.taboola.com;151.101.129.44;443
No response;192.168.0.112;43226;vidanalytics.taboola.com;151.101.193.44;443
No response;192.168.0.112;43226;vidanalytics.taboola.com;151.101.193.44;443
No response;192.168.0.112;43226;vidanalytics.taboola.com;151.101.193.44;443
No response;192.168.0.112;43226;vidanalytics.taboola.com;151.101.193.44;443
No response;192.168.0.112;43226;vidanalytics.taboola.com;151.101.193.44;443
No response;192.168.0.112;43226;vidanalytics.taboola.com;151.101.129.44;443
No response;192.168.0.112;43274;img.like.video;202.168.102.30;80
No response;192.168.0.112;43226;vidanalytics.taboola.com;151.101.129.44;443
No response;192.168.0.112;43282;api.likee.video;164.90.87.95;80
No response;192.168.0.112;43282;api.likee.video;164.90.87.95;80
No response;192.168.0.112;43282;api.likee.video;164.90.87.95;80
No response;192.168.0.112;43226;vidanalytics.taboola.com;151.101.65.44;443
No response;192.168.0.112;43226;vidanalytics.taboola.com;151.101.65.44;443
No response;192.168.0.112;43226;vidanalytics.taboola.com;151.101.65.44;443
No response;192.168.0.112;43226;vidanalytics.taboola.com;151.101.65.44;443
No response;192.168.0.112;43226;vidanalytics.taboola.com;151.101.65.44;443
No response;192.168.0.112;43226;vidanalytics.taboola.com;151.101.65.44;443
No response;192.168.0.112;43226;vidanalytics.taboola.com;151.101.65.44;443
No response;192.168.0.112;43226;vidanalytics.taboola.com;151.101.65.44;443
No response;192.168.0.112;43226;vidanalytics.taboola.com;151.101.65.44;443
No response;192.168.0.112;43226;vidanalytics.taboola.com;151.101.65.44;443
