
N/A;192.168.0.112:42734;54.192.95.125:443;Proxy-Request;https://and-maps.api.weatherbu...;-
N/A;192.168.0.112:42740;54.192.95.125:443;Proxy-Request;https://and-maps.api.weatherbu...;-
com.aws.android;192.168.0.112:42744;35.244.159.8:443;Proxy-Request;https://taboola-d.openx.net/v/...;-
N/A;192.168.0.112:42744;35.244.159.8:443;Proxy-Response;-;-
N/A;192.168.0.112:42734;54.192.95.125:443;Proxy-Response;-;-
N/A;192.168.0.112:42732;54.192.95.125:443;Proxy-Response;-;-
N/A;192.168.0.112:42740;54.192.95.125:443;Proxy-Response;-;-
N/A;192.168.0.112:42738;54.192.95.125:443;Proxy-Request;https://and-maps.api.weatherbu...;-
com.aws.android;192.168.0.112:42706;151.101.129.44:443;Proxy-Request;https://trc.taboola.com/weathe...;-
N/A;192.168.0.112:42706;151.101.129.44:443;Proxy-Response;-;-
N/A;192.168.0.112:42736;54.192.95.125:443;Proxy-Request;https://and-maps.api.weatherbu...;-
N/A;192.168.0.112:42736;54.192.95.125:443;Proxy-Response;-;-
com.aws.android;192.168.0.112:42730;151.101.1.44:443;Proxy-Request;https://pips.taboola.com/;-
N/A;192.168.0.112:42730;151.101.1.44:443;Proxy-Response;-;-
N/A;192.168.0.112:42738;54.192.95.125:443;Proxy-Response;-;-
N/A;192.168.0.112:42716;50.16.220.137:443;Proxy-Request;https://and-clog2.pulse.weathe...;-
N/A;192.168.0.112:42742;54.192.95.125:443;Proxy-Request;https://and-maps.api.weatherbu...;-
N/A;192.168.0.112:42716;50.16.220.137:443;Proxy-Response;-;-
N/A;192.168.0.112:42742;54.192.95.125:443;Proxy-Response;-;-
com.aws.android;192.168.0.112:42592;141.226.228.48:443;Proxy-Request;https://am-vid-events.taboola....;-
N/A;192.168.0.112:42592;141.226.228.48:443;Proxy-Response;-;-
N/A;192.168.0.112:42750;52.95.126.160:443;Proxy-Request;https://aax-eu.amazon-adsystem...;-
N/A;192.168.0.112:42750;52.95.126.160:443;Proxy-Response;-;-
com.aws.android;192.168.0.112:42752;151.101.129.44:443;Proxy-Request;https://images-dup-b.taboola.c...;-
com.aws.android;192.168.0.112:42752;151.101.129.44:443;Proxy-Request;https://images-dup-b.taboola.c...;-
com.aws.android;192.168.0.112:42752;151.101.129.44:443;Proxy-Request;https://images-dup-b.taboola.c...;-
com.aws.android;192.168.0.112:42752;151.101.129.44:443;Proxy-Request;https://images-dup-b.taboola.c...;-
com.aws.android;192.168.0.112:42752;151.101.129.44:443;Proxy-Request;https://images-dup-b.taboola.c...;-
N/A;192.168.0.112:42752;151.101.129.44:443;Proxy-Response;-;-
N/A;192.168.0.112:42752;151.101.129.44:443;Proxy-Response;-;-
N/A;192.168.0.112:42752;151.101.129.44:443;Proxy-Response;-;-
N/A;192.168.0.112:42752;151.101.129.44:443;Proxy-Response;-;-
N/A;192.168.0.112:42752;151.101.129.44:443;Proxy-Response;-;-
com.aws.android;192.168.0.112:42728;151.101.65.44:443;Proxy-Request;https://wf.taboola.com/VideoBi...;-
N/A;192.168.0.112:42728;151.101.65.44:443;Proxy-Response;-;-
N/A;192.168.0.112:42676;18.235.222.201:443;Proxy-Response;-;-
com.aws.android;192.168.0.112:42752;151.101.129.44:443;Proxy-Request;https://images-dup-b.taboola.c...;-
com.aws.android;192.168.0.112:42752;151.101.129.44:443;Proxy-Request;https://images-dup-b.taboola.c...;-
com.aws.android;192.168.0.112:42752;151.101.129.44:443;Proxy-Request;https://images-dup-b.taboola.c...;-
com.aws.android;192.168.0.112:42752;151.101.129.44:443;Proxy-Request;https://images-dup-b.taboola.c...;-
com.aws.android;192.168.0.112:42752;151.101.129.44:443;Proxy-Request;https://images-dup-b.taboola.c...;-
N/A;192.168.0.112:42752;151.101.129.44:443;Proxy-Response;-;-
N/A;192.168.0.112:42752;151.101.129.44:443;Proxy-Response;-;-
N/A;192.168.0.112:42752;151.101.129.44:443;Proxy-Response;-;-
N/A;192.168.0.112:42752;151.101.129.44:443;Proxy-Response;-;-
N/A;192.168.0.112:42752;151.101.129.44:443;Proxy-Response;-;-
com.aws.android;192.168.0.112:42684;185.106.33.48:443;Proxy-Request;https://il-trc-events.taboola....;-
N/A;192.168.0.112:42684;185.106.33.48:443;Proxy-Response;-;-
com.aws.android;192.168.0.112:42608;141.226.228.48:443;Proxy-Request;https://am-wf.taboola.com/Vide...;-
N/A;192.168.0.112:42608;141.226.228.48:443;Proxy-Response;-;-
com.aws.android;192.168.0.112:42608;141.226.228.48:443;Proxy-Request;https://am-wf.taboola.com/Vide...;-
N/A;192.168.0.112:42608;141.226.228.48:443;Proxy-Response;-;-
com.aws.android;192.168.0.112:42608;141.226.228.48:443;Proxy-Request;https://am-wf.taboola.com/Vide...;-
N/A;192.168.0.112:42608;141.226.228.48:443;Proxy-Response;-;-
com.aws.android;192.168.0.112:42608;141.226.228.48:443;Proxy-Request;https://am-wf.taboola.com/Vide...;-
N/A;192.168.0.112:42608;141.226.228.48:443;Proxy-Response;-;-
com.aws.android;192.168.0.112:42608;141.226.228.48:443;Proxy-Request;https://am-wf.taboola.com/Vide...;-
N/A;192.168.0.112:42608;141.226.228.48:443;Proxy-Response;-;-
N/A;192.168.0.112:42758;;Proxy-Request;http://api.likee.video/abconfi...;-
N/A;192.168.0.112:42758;164.90.87.95:80;Proxy-Response;-;-
N/A;192.168.0.112:42764;;Proxy-Request;http://img.like.video/asia_liv...;-
N/A;192.168.0.112:42764;104.166.188.190:80;Proxy-Response;-;-
N/A;192.168.0.112:42758;;Proxy-Request;http://api.likee.video/abconfi...;-
N/A;192.168.0.112:42758;164.90.87.95:80;Proxy-Response;-;-
N/A;192.168.0.112:42758;;Proxy-Request;http://api.likee.video/abconfi...;-
N/A;192.168.0.112:42758;164.90.87.95:80;Proxy-Response;-;-
N/A;192.168.0.112:43102;108.157.88.185:443;Proxy-Request;https://aax.amazon-adsystem.co...;-
Mozilla/5.0 (Linux- Android 9- Redmi 8 Build/PKQ1.190319.001- wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/95.0.4638.74 Mobile Safari/537.36;192.168.0.112:43094;34.235.205.35:443;Proxy-Request;https://weatherbug.adsbynimbus...;-
N/A;192.168.0.112:43102;108.157.88.185:443;Proxy-Response;-;-
Mozilla/5.0 (Linux- Android 4.0.4- Galaxy Nexus Build/IMM76B) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.133 Mobile Safari/535.19;192.168.0.112:43098;52.207.179.162:443;Proxy-Request;https://and-for.pulse.weatherb...;-
N/A;192.168.0.112:43096;52.87.37.195:443;Proxy-Request;https://and-ads.pulse.weatherb...;-
N/A;192.168.0.112:43104;172.64.206.14:443;Proxy-Request;https://api-eu.bidmachine.io/a...;-
Mozilla/5.0 (Linux- Android 4.0.4- Galaxy Nexus Build/IMM76B) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.133 Mobile Safari/535.19;192.168.0.112:43100;34.200.12.21:443;Proxy-Request;https://and-obs.pulse.weatherb...;-
N/A;192.168.0.112:43094;34.235.205.35:443;Proxy-Response;-;-
N/A;192.168.0.112:43098;52.207.179.162:443;Proxy-Response;-;-
Mozilla/5.0 (Linux- Android 9- Redmi 8 Build/PKQ1.190319.001- wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/95.0.4638.74 Mobile Safari/537.36;192.168.0.112:43106;37.252.173.214:443;Proxy-Request;https://mediation.adnxs.com/ut...;-
